"Sample_Name","Array_Size","row","col1","col2","col3"
"spatial_Glioblastoma","11mm","row1","0.0759950471330573","-16.7587841152446","49017.5462882097"
"spatial_Glioblastoma","11mm","row2","16.7587853806592","0.0759933325199678","9696.95722148288"
"spatial_Glioblastoma","11mm","row3","0","0","1"
"spatial_Human_Ovarian_Cancer","6.5mm","row1","0.00248507654225967","6.88939240502472","-4.62402677116958"
"spatial_Human_Ovarian_Cancer","6.5mm","row2","6.88939514362099","-0.0024829312833338","-5.06989296321451"
"spatial_Human_Ovarian_Cancer","6.5mm","row3","0","0","1"
"spatial_Human_Ovarian_Carcinoma","11mm","row1","-0.20120764629368","16.9384405057306","-5449.79984257541"
"spatial_Human_Ovarian_Carcinoma","11mm","row2","-16.9384407909307","-0.201207657727136","38458.9057060126"
"spatial_Human_Ovarian_Carcinoma","11mm","row3","0","0","1"
"spatial_Lung_Cancer","11mm","row1","0.251682471347394","-16.9106452461068","38951.9649205907"
"spatial_Lung_Cancer","11mm","row2","16.9106444747818","0.251682259563782","-4664.08469070048"
"spatial_Lung_Cancer","11mm","row3","0","0","1"
"spatial_Lung_Squamous_Cell_Carcinoma","6.5mm","row1","0.127001375101631","-16.9525289551167","39713.897892575"
"spatial_Lung_Squamous_Cell_Carcinoma","6.5mm","row2","16.9525259941433","0.127001874562067","-186.319011750497"
"spatial_Lung_Squamous_Cell_Carcinoma","6.5mm","row3","0","0","1"
"spatial_Skin_Melanoma","6.5mm","row1","-0.0265759629902425","14.1177229447524","-8989.30057298613"
"spatial_Skin_Melanoma","6.5mm","row2","-14.1177126304988","-0.026565339318665","24172.2134299885"
"spatial_Skin_Melanoma","6.5mm","row3","0","0","1"
