"Sample_Name","Array_Size","lm_identical","row","col1","col2","col3"
"spatial_Glioblastoma","11mm","TRUE","row1","0.217956320979117","-0.00118692234127435","-674.453453419433"
"spatial_Glioblastoma","11mm","TRUE","row2","0.00118692234127435","0.217956320979117","-11650.4942725855"
"spatial_Glioblastoma","11mm","TRUE","row3","0","0","1"
"spatial_Human_Ovarian_Cancer","6.5mm","TRUE","row1","0.209568394871813","-0.000256018044152058","-636.503487100064"
"spatial_Human_Ovarian_Cancer","6.5mm","TRUE","row2","0.000256018044152058","0.209568394871813","-6042.47321109757"
"spatial_Human_Ovarian_Cancer","6.5mm","TRUE","row3","0","0","1"
"spatial_Human_Ovarian_Carcinoma","11mm","TRUE","row1","0.215565820163426","-0.00154915887395403","-693.457977915774"
"spatial_Human_Ovarian_Carcinoma","11mm","TRUE","row2","0.00154915887395403","0.215565820163426","-11574.5136207559"
"spatial_Human_Ovarian_Carcinoma","11mm","TRUE","row3","0","0","1"
"spatial_Lung_Cancer","11mm","TRUE","row1","0.216007130932725","-0.0012250791686223","-658.033203687497"
"spatial_Lung_Cancer","11mm","TRUE","row2","0.0012250791686223","0.216007130932725","-11549.331992881"
"spatial_Lung_Cancer","11mm","TRUE","row3","0","0","1"
"spatial_Lung_Squamous_Cell_Carcinoma","6.5mm","TRUE","row1","0.215819601065559","-0.00170952502700205","-683.726932100963"
"spatial_Lung_Squamous_Cell_Carcinoma","6.5mm","TRUE","row2","0.00170952502700205","0.215819601065559","-11563.388080923"
"spatial_Lung_Squamous_Cell_Carcinoma","6.5mm","TRUE","row3","0","0","1"
"spatial_Skin_Melanoma","6.5mm","TRUE","row1","0.218063903506697","-0.00175123326108921","-706.156770261937"
"spatial_Skin_Melanoma","6.5mm","TRUE","row2","0.00175123326108921","0.218063903506697","-5832.30066739653"
"spatial_Skin_Melanoma","6.5mm","TRUE","row3","0","0","1"
