"array_id","case_id","case_name","L","n_rows","n_columns","n_spots","spot_diameter","d_row","d_column","d_diagonal","min_center_row","max_center_row","min_center_column","max_center_column","min_spot_row","max_spot_row","min_spot_column","max_spot_column","identical_margins","matches_tested_100","spots_rows_nonoverlap","spots_columns_nonoverlap","spots_diagonal_nonoverlap","spots_nonoverlapping","spots_rows_inside","spots_columns_inside","case_possible"
"6.5mm",1,"100µm column & row distance between array units",6500,78,128,4992,55,100,100,141.42135623731,-600,7100,-3100,9600,-627.5,7127.5,-3127.5,9627.5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"6.5mm",2,"50µm column & row distance between array units",6500,78,128,4992,55,50,50,70.7106781186548,1325,5175,75,6425,1297.5,5202.5,47.5,6452.5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6.5mm",3,"100µm column & diagonal spot distance in hexagonal grid",6500,78,128,4992,55,86.6025403784439,50,100,-84.1978045700889,6584.19780457009,75,6425,-111.697804570089,6611.69780457009,47.5,6452.5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"6.5mm",4,"50µm column distance between array units & equal margins",6500,78,128,4992,55,82.4675324675325,50,96.4411422126652,75,6425,75,6425,47.5,6452.5,47.5,6452.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6.5mm",5,"Minimal margins (m = r)",6500,78,128,4992,55,83.7012987012987,50.748031496063,97.8839624504925,27.5,6472.5,27.5,6472.5,0,6500,0,6500,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6.5mm",6,"Axis-distance-margin relation of 1:1",6500,78,128,4992,55,82.2784810126582,50.3875968992248,96.4813886665668,82.2784810126582,6417.72151898734,50.3875968992248,6449.61240310077,54.7784810126582,6445.22151898734,22.8875968992248,6477.11240310077,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"11mm",1,"100µm column & row distance between array units",11000,128,224,14336,55,100,100,141.42135623731,-850,11850,-5650,16650,-877.5,11877.5,-5677.5,16677.5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"11mm",2,"50µm column & row distance between array units",11000,128,224,14336,55,50,50,70.7106781186548,2325,8675,-75,11075,2297.5,8702.5,-102.5,11102.5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"11mm",3,"100µm column & diagonal spot distance in hexagonal grid",11000,128,224,14336,55,86.6025403784439,50,100,0.738685968814934,10999.2613140312,-75,11075,-26.7613140311851,11026.7613140312,-102.5,11102.5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"11mm",4,"50µm column distance between array units & equal margins",11000,128,224,14336,55,87.7952755905512,50,101.034699069284,-75,11075,-75,11075,-102.5,11102.5,-102.5,11102.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"11mm",5,"Minimal margins (m = r)",11000,128,224,14336,55,86.1811023622047,49.0807174887892,99.1771104316876,27.5,10972.5,27.5,10972.5,0,11000,0,11000,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"11mm",6,"Axis-distance-margin relation of 1:1",11000,128,224,14336,55,85.2713178294574,48.8888888888889,98.2920195191983,85.2713178294574,10914.7286821705,48.8888888888889,10951.1111111111,57.7713178294574,10942.2286821705,21.3888888888889,10978.6111111111,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
